lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,2759,,22,,,,,,32.91240310668945,10.884503364562988,3.232025623321533,18.795873641967773,,,,,
0.0007614880330756164,2760,,,,,,,,,,,,,,,,
,2799,0.9475112557411194,23,,,,,,,,,,,,,,
,2849,1.031020998954773,23,,,,,,,,,,,,,,
,2879,,23,0.9131048917770386,30.438634872436523,13.890119552612305,1.9273371696472168,14.62117862701416,,,,,,,,,
,2879,,23,,,,,,32.45306396484375,10.706278800964355,3.2886321544647217,18.458152770996094,,,,,
0.0007272682546199036,2880,,,,,,,,,,,,,,,,
,2899,0.9453389644622803,24,,,,,,,,,,,,,,
,2949,0.9369221925735474,24,,,,,,,,,,,,,,
,2999,0.9573877453804016,24,,,,,,,,,,,,,,
,2999,,24,0.895513117313385,28.51129913330078,8.329641342163086,3.65529465675354,16.526363372802734,,,,,,,,,
,2999,,24,,,,,,30.389741897583008,9.870819091796875,3.165540933609009,17.353382110595703,,,,,
0.0006916503744663624,3000,,,,,,,,,,,,,,,,
,3049,0.9333276748657227,25,,,,,,,,,,,,,,
,3099,0.9115585088729858,25,,,,,,,,,,,,,,
,3119,,25,0.8585548996925354,27.292865753173828,7.6207356452941895,3.5223748683929443,16.149755477905273,,,,,,,,,
,3119,,25,,,,,,29.317026138305664,9.171136856079102,3.0639400482177734,17.08194923400879,,,,,
0.0006548539886902863,3120,,,,,,,,,,,,,,,,
,3149,0.8622400760650635,26,,,,,,,,,,,,,,
,3199,0.9577296376228333,26,,,,,,,,,,,,,,
,3239,,26,0.8382241129875183,26.052282333374023,5.693398475646973,4.430660247802734,15.928223609924316,,,,,,,,,
,3239,,26,,,,,,27.910362243652344,8.547771453857422,3.0730783939361572,16.289512634277344,,,,,
0.0006171059592460248,3240,,,,,,,,,,,,,,,,
,3249,0.8566036224365234,27,,,,,,,,,,,,,,
,3299,0.8558617234230042,27,,,,,,,,,,,,,,
,3349,0.8188543319702148,27,,,,,,,,,,,,,,
,3359,,27,0.7836182117462158,24.457244873046875,5.892777919769287,3.8989808559417725,14.665485382080078,,,,,,,,,
,3359,,27,,,,,,27.076656341552734,8.229598045349121,3.0205912590026855,15.826467514038086,,,,,
0.0005786390152875953,3360,,,,,,,,,,,,,,,,
,3399,0.8576475977897644,28,,,,,,,,,,,,,,
,3449,0.7165467739105225,28,,,,,,,,,,,,,,
,3479,,28,0.7946888208389282,24.856002807617188,6.579530239105225,3.322995185852051,14.95347785949707,,,,,,,,,
,3479,,28,,,,,,25.97145652770996,7.814238548278809,3.0397098064422607,15.117508888244629,,,,,
0.0005396903183160585,3480,,,,,,,,,,,,,,,,
,3499,0.8691134452819824,29,,,,,,,,,,,,,,
,3549,0.8761358857154846,29,,,,,,,,,,,,,,
,3599,0.8544278144836426,29,,,,,,,,,,,,,,
,3599,,29,0.7584075927734375,23.57111167907715,5.582631587982178,3.9432876110076904,14.04519271850586,,,,,,,,,
,3599,,29,,,,,,24.992420196533203,7.525147914886475,2.9736804962158203,14.493592262268066,,,,,
0.0005005,3600,,,,,,,,,,,,,,,,
,3649,0.6485094428062439,30,,,,,,,,,,,,,,
,3699,0.7377960085868835,30,,,,,,,,,,,,,,
,3719,,30,0.7594050765037537,24.41293716430664,9.525918960571289,1.6614975929260254,13.225520133972168,,,,,,,,,
,3719,,30,,,,,,24.31626319885254,7.306011199951172,2.8696298599243164,14.140623092651367,,,,,
0.00046130968168394147,3720,,,,,,,,,,,,,,,,
,3749,0.8346080780029297,31,,,,,,,,,,,,,,
,3799,0.7438329458236694,31,,,,,,,,,,,,,,
,3839,,31,0.7556232213973999,24.41293716430664,7.709348678588867,2.5697829723358154,14.133806228637695,,,,,,,,,
,3839,,31,,,,,,24.1732234954834,7.009024143218994,2.934298038482666,14.229901313781738,,,,,
0.00042236098471240476,3840,,,,,,,,,,,,,,,,
,3849,0.670638918876648,32,,,,,,,,,,,,,,
,3899,0.7229957580566406,32,,,,,,,,,,,,,,
,3949,0.8276004791259766,32,,,,,,,,,,,,,,
,3959,,32,0.7272261381149292,23.083740234375,7.02259635925293,2.281790018081665,13.779353141784668,,,,,,,,,
,3959,,32,,,,,,22.697771072387695,6.651417255401611,2.7545437812805176,13.291810989379883,,,,,
0.00038389404075397525,3960,,,,,,,,,,,,,,,,
,3999,0.6120960116386414,33,,,,,,,,,,,,,,
,4049,0.7093016505241394,33,,,,,,,,,,,,,,
,4079,,33,0.7260675430297852,22.086841583251953,6.1364641189575195,2.74700927734375,13.203367233276367,,,,,,,,,
,4079,,33,,,,,,22.576927185058594,6.643984794616699,2.817828893661499,13.115114212036133,,,,,
0.0003461460113097137,4080,,,,,,,,,,,,,,,,
,4099,0.7463053464889526,34,,,,,,,,,,,,,,
,4149,0.6307995915412903,34,,,,,,,,,,,,,,
,4199,0.8025940656661987,34,,,,,,,,,,,,,,
,4199,,34,0.685864269733429,21.688081741333008,5.649091720581055,2.9685423374176025,13.07044792175293,,,,,,,,,
,4199,,34,,,,,,21.944917678833008,6.565059661865234,2.733494520187378,12.646363258361816,,,,,
0.00030934962553363763,4200,,,,,,,,,,,,,,,,
